Ship,Flag,Sunk date,Notes,Coordinates
Sv. Nikolai,Russian Empire,1 November 1808,"Russian-American Company schooner, sailed south from Sitka to locate a suitable site for a permanent post in Oregon Country. Wrecked on the Olympic Peninsula near Rialto Beach. The crew was marooned for about 18 months, clashing with the Hoh then enslaved by the Makah. They were rescued in May 1810 at Neah Bay by the American merchant vessel Lydia.",
SS Pacific,United States,6 November 1875,The paddle steamer sank after being in collision with SS Orpheus off Cape Flattery. At least 318 lives lost.,
T.W. Lake,United States,5-Dec-23,A steamboat that foundered off Lopez Island.,
Healys-1,United States,Unknown,Originally aYMS-1-class minesweeper (USS YMS-416) that was decommissioned and later sank in Lake Washington.,
Yosemite,United States,9-Jul-09,A steamboat that was wrecked at Port Orchard Narrows.,
SS Appomattox,United States,2-Nov-05,"The wooden steamship went aground in smoke and fog on the Wisconsin coast of Lake Michigan, near Milwaukee in 1905. Crews worked for two weeks in an effort to free the ship, but eventually it broke up, and was abandoned as a total constructive loss.",
Atlanta,United States,18-Mar-06,Steamer from the Goodrich line that caught fire and burned 10 nautical miles (19 km) NE of Port Washington in Lake Michigan.  Captain Delos H. Smith rescued 74 of 75 from the burning ship.[55],
Daniel Lyons,United States,18 October 1878,The schooner was in collision with schooner Kate Gillett off Algoma in Lake Michigan. There was no loss of life,
Fleetwing,United States,26 September 1888,Ran aground and sunk in Lake Michigan.,
Frank O'Connor,United States,3-Oct-19,"A bulk carrier that sank in Lake Michigan off the coast of North Bay, Door County, Wisconsin",
Grape Shot,United States,November 1867,A schooner that was run aground by a gale off the coast of Plum Island. There were no casualties.,
Hanover,,November 1867,A schooner that struck a shoal near the Strawberry Islands,
Hetty Taylor,United States,26 August 1880,"She was a schooner that encountered a squall and sank in Lake Michigan off the coast of Sheboygan, Wisconsin.[56] In 2005, the shipwreck site was added to the National Register of Historic Places.[57] There were no casualties.",
Joys,United States,23 December 1898,"She was at anchor in the Sturgeon Bay Ship Canal. At about 1:00 a.m., the captain saw flames from the wheelhouse and sounded the alarm. The crew was able to escape, but in the ensuing chaos the ship was carried in the current toward the canal office and government warehouse. Eventually, efforts from those on land were successful in towing the vessel away from land, where it then burned to the waterline and sank.",
L. R. Doty,United States,October 1898,"Largest wooden steamship on the Great Lakes, sunk in a storm with no survivors. Its wreck was located in June 2010.[58]",
Louisiana,United States,1913,Burned in a gale.,
Lucerne,United States,17/18 November 1886,"The commercial schooner sank with all hands due to bad weather in Lake Superior, off the coast of Long Island in Chequamegon Bay. The site of the wreck was added to the National Register of Historic Places in 1991.[59]",
Marquette,United States,15-Oct-03,"While about 5 nautical miles (9.3 km) East of Michigan Island and carrying a cargo of iron ore, she sprang a leak and began to sink. The crew escaped in lifeboats.",
SS Milwaukee,United States,22-Oct-29,Sunk in Lake Michigan from storm damage.,
Moonlight,United States,13-Sep-03,She sank in a storm by Michigan Island while hauling iron ore out of Ashland.,
Noquebay,United States,2-Oct-05,"The wooden schooner caught fire and sank in Lake Superior off the coast of Stockton Island, in Chequamegon Bay.",
Phoenix,United States,21 November 1847,"Wooden steamship that caught fire from over-stoked boilers and burned to the waterline off the coast of Sheboygan, WI, killing at least 190 but perhaps more than 250 of the nearly 300 people on board.  40 people survived in lifeboats and three were rescued from the water.[60]",
Pretoria,United States,2-Sep-05,The wooden schooner sank in a storm on Lake Superior near the Apostle Islands,
Senator,United States,30-Oct-29,A collision with the Marquette in a dense fog sank the Senator off Port Washington in Lake Michigan.[61],
Sevona,United States,2-Sep-05,The steamboat sank in a storm on Lake Superior near Sand Island.,
Success,United States,26 November 1896,"The scow schooner was pushed ashore by a gale during a storm off the coast of Sevastopol, Wisconsin.",
Tennie and Laura,United States,2-Aug-03,"The schooner was sailing from Muskegon, Michigan, to Milwaukee carrying a cargo of lumber worth roughly $500 at the time. The ship was crewed by two men, Captain John Sather and First Mate Charles Nordbach. About 9 nautical miles (17 km) from Port Washington she was caught in a storm. The ship eventually capsized, and Mate Morbach died.",
E.C. Waters,United States,1906,A steamboat that was abandoned in Yellowstone Lake.[62],
Brother Jonathan,United States,30 July 1865,A paddle steamer that ran aground off Crescent City.,
SS Emidio,United States,20-Dec-41,A tanker that was sunk by I-17 off Crescent City.,41°45′1.96″N 124°11′47.95″W﻿ / ﻿41.7505444°N 124.1966528°W﻿ / 41.7505444; -124.1966528﻿ (SS E
SS Ada Hancock,United States,"April 27, 1863","A steam powered tender suffered a boiler explosion in Los Angeles Harbor killing 26 of her 53 passengers. A common urban legends states that onboard was $125,000 in gold, transported by a Wells Fargo messenger, which was never recovered. This is likely just a legend.[1]",
Ace I,,29-Apr-48,"A barge that foundered in a storm and was scuttled as a hazard to navigation off San Pedro, Los Angeles.",
SS Avalon,United States,16-Sep-64,A passenger ship that foundered under tow off Palos Verdes.,
USS Burrfish,United States Navy,19-Nov-69,A Balao-class submarine that was sunk as a target off San Clemente Island.,
Charles F. Crocker,,1929,"A barquentine that was run aground and dismasted for a movie off Santa Catalina Island, sometime around 1929. The wreck was later burned, and then moved further inland by a tidal bore.",
Dauntless,,3-Oct-28,"A schooner that was blown up for the movie The Rescue off Catalina Harbor, Santa Catalina Island.",
Diosa del Mar,United States,30-Jul-90,A wooden schooner that ran aground on Ship Rock at Santa Catalina Island.,
SS Dominator,United States,13-Mar-61,"A cargo ship that ran aground on Rocky Point, Palos Verdes.",
F.S. Loop,,1947,A barge that sank near Angel's Gate and was blown up as a hazard to navigation.,
Georgia,,22-Feb-66,A barge that was scuttled off Redondo Beach.,
Georgia Straits,,,A tug that sank under tow off Los Angeles.,
USS Gregory,United States Navy,4-Mar-71,A Fletcher-class destroyer that was bombed as a target off San Clemente Island.,
Johanna Smith,United States,22-Jul-32,A schooner that caught fire and sank off Long Beach.,
USS John C. Butler,United States Navy,1971,A  John C. Butler-class destroyer escort that was sunk as a target off San Clemente.,
USS Koka,United States Navy,7-Dec-37,A Bagaduce-class fleet tug that ran aground off San Clemente Island.,
Margaret C.,,,"A schooner that was blown up for a movie in Catalina Harbor, Santa Catalina Island, in about 1926.",
Monfalcone,,31-Aug-30,A gambling ship that caught fire and sank off Long Beach.,
USS Moody,United States Navy,21-Feb-33,A Clemson-class destroyer that was blown up in San Pedro Bay for the MGM movie Hell Below.,
USS SS-300,United States Navy,18-Jun-70,A Balao-class submarine that was sunk as a target off San Clemente.,
USS Naifeh,United States Navy,11-Jul-66,A John C. Butler-class destroyer escort that was sunk as a target off San Clemente Island.,
Ningpo,,1938,A Chinese junk that was beached then burned at Santa Catalina Island.,
Olympic II,,4-Sep-40,A barge that collided with the Japanese freighter Sakito Maru off San Pedro. The wreck was blown up as a hazard to navigation.,
Palmyra,,,"A schooner that was beached and burned off Santa Catalina Island, around 1938.",
SS Princess Louise,,20-Jun-90,"A cruise ship, later converted into a floating restaurant, that sank under tow about 16 nautical miles (30 km) southwest of Point Fermin, while en route to Catalina to be sunk as an artificial reef.",
Sacramento,,2-Dec-68,A barge and ferry that foundered off Redondo Beach.,
SS Sansinena,Liberia,17-Dec-76,An oil tanker that exploded at the Port of Los Angeles.,
S.N. Castle,,17-Feb-26,"A barquentine that was burned and sunk in Catalina Harbor at Santa Catalina Island, for the movie Old Ironsides.",
SueJac,,14-Nov-80,"A schooner that ran aground on Casino Point, Santa Catalina Island.",
USS Stribling,United States Navy,Jan-37,A Wickes-class destroyer that was sunk as a target off San Pedro.,
UB-88,United States Navy,3-Jan-21,A Wickes-class destroyer that was sunk as a target off San Pedro.,
USS Vammen,United States Navy,18-Feb-71,Sunk by 4 Feb 1971 Condor missile strike off San Clemente Island.,
Labouchere,United Kingdom,14 April 1866,A paddle steamer that ran aground off Point Reyes.,
S.S. Tennessee,,6 March 1853,"A passenger steamship that ran aground off Indian Cove, now renamed Tennessee Cove.",
Il’mena,Russia,19 June 1820,A Russian-American Company maritime fur trade brig that wrecked at Point Arena. All people and cargo was saved and taken to Bodega Bay and Fort Ross.,
Frolic,,1850,An opium-trading brig wrecked near Point Cabrillo Light in 1850. Frolic was the subject of a 2003 episode of Deep Sea Detectives.,
Josephine Woolcot,,1886,"A schooner wrecked by a storm off Mendocino City. Ship broke in half mid ship into two sections – bow and two mast / transon and two mast, sank with fantail pointing northwest in large surf.",
Sea Foam,,28-Jan-31,A schooner that was wrecked at Point Arena.,
Charles Brown,,21-Apr-32,A barge that ran aground off Laguna Beach.,
Elsie I,,17-Oct-51,A barge that capsized in a storm off Huntington Beach.,
Foss 125,,17-Nov-58,A barge that foundered in a storm off Laguna Beach.,
USS Abercrombie,United States Navy,7-Jan-68,A John C. Butler-class destroyer escort that was sunk as a target off San Diego.,
USS Archer-Fish,United States Navy,19-Oct-68,A Balao-class submarine that was sunk as a target off San Diego.,
USS Aspro,United States Navy,16-Nov-62,A Balao-class submarine that was sunk as a target off San Diego.,
USS Atlanta,United States Navy,1-Oct-70,A Cleveland-class light cruiser that was sunk as a target.,
USS Blackfin,United States Navy,13-May-73,A Balao-class submarine that was sunk as a target off San Diego.,
USS Champlin,United States Navy,12-Apr-36,A Wickes-class destroyer that was sunk as a target off San Diego.,
USS F-1,United States Navy,17-Dec-17,An F-class submarine that was sunk in a collision off Point Loma.,
USS Hogan,United States Navy,8-Nov-45,A Wickes-class destroyer that was bombed as a target off San Diego.,
USS Knight,United States Navy,27-Oct-67,A Gleaves-class destroyer that was sunk as a target off San Diego.,
USS Marcus,United States Navy,25-Jun-35,A Clemson-class destroyer that was sunk as a target off San Diego.,
SS Monte Carlo,United States Navy,1-Jan-37,An oil tanker that drifted onto Coronado in a storm.,
USS PC-815,United States Navy,11-Sep-45,A PC-461-class submarine chaser that was sunk in a collision with USS Laffey off San Diego.,
USS S-37,United States Navy,20-Feb-45,An S-class submarine that broke tow and sank off Imperial Beach.,
USS Sabalo,United States Navy,15-Feb-73,A Balao-class submarine that was sunk as a target off San Diego.,
USS Sloat,United States Navy,26-Jun-35,A Clemson-class destroyer that was sunk as a target off San Diego.,
Valiant,,13-Dec-30,A yacht that caught fire and sank off Descanso Beach.,
USS Williams,United States Navy,29-Jun-68,A John C. Butler-class destroyer escort that sunk as a target off San Diego.,
HMCS Yukon,United States Navy,Jul-00,A Mackenzie-class destroyer that was scuttled off Mission Bay as an artificial reef.,32°46′18″N 117°16′16″W﻿ / ﻿32.77154°N 117.27098°W﻿ / 32.77154; -117.27098﻿ (HMCS Yukon (DDE
USS Benevolence,United States Navy,25-Apr-50,A hospital ship that sunk in a collision with SS Mary Luckenbach.,
USS Boston,United States Navy,8-Apr-46,A protected cruiser that was scuttled off San Francisco.,
USS Bunting,United States Navy,3-Jun-42,A minesweeper that sank in a collision.,
SS City of Chester,United States,22 August 1888,A passenger ship that collided with RMS Oceanic in San Francisco Bay.,
SS City of Rio de Janeiro,United States,21-Feb-01,A steamship that struck a reef in San Francisco Bay.,
USS Conestoga,United States Navy,1921,"An ocean-going tug that was declared ""lost at sea"" on 30 June 1921. The wreck was discovered in the Greater Farallones National Marine Sanctuary in 2009, and formally identified as Conestoga in 2016.",
USS Devilfish,United States Navy,14-Aug-68,A Balao-class submarine that was sunk as a target off San Francisco.,
